train_number,n_stops,total_distance_km,avg_km_per_stop,n_skip_segments,stations_skipped
55217,11,52.6,5.3,0,0
63552,11,52.6,5.3,0,0
63546,11,52.6,5.3,0,0
55219,11,52.6,5.3,0,0
56239,7,52.4,8.7,0,0
53321,12,52.4,4.8,0,0
63545,12,52.4,4.8,0,0
56271,7,52.4,8.7,0,0
55115,8,52.3,7.5,0,0
56613,11,52.2,5.2,0,0
56617,11,52.2,5.2,0,0
56615,11,52.2,5.2,0,0
56621,11,52.2,5.2,0,0
56619,11,52.2,5.2,0,0
37356,20,52.2,2.7,0,0
59707,3,52.1,26.1,0,0
59709,3,52.1,26.1,0,0
51111,8,52.0,7.4,0,0
51115,8,52.0,7.4,0,0
51113,8,52.0,7.4,0,0
54262,10,51.8,5.8,0,0
57512,7,51.6,8.6,0,0
56827,10,51.6,5.7,0,0
59511,8,51.6,7.4,0,0
59509,8,51.6,7.4,0,0
56389,11,51.5,5.1,0,0
56385,11,51.5,5.1,0,0
38846,19,51.5,2.9,0,0
13252,8,51.4,7.3,0,0
52953,8,51.2,7.3,0,0
52219,6,51.0,10.2,0,0
56303,12,51.0,4.6,0,0
56379,12,51.0,4.6,0,0
52227,6,51.0,10.2,0,0
58609,8,50.9,7.3,0,0
56763,11,50.7,5.1,0,0
56761,11,50.7,5.1,0,0
56765,11,50.7,5.1,0,0
59043,8,50.6,7.2,0,0
56384,12,50.6,4.6,0,0
56302,12,50.6,4.6,0,0
53429,12,50.5,4.6,0,0
53642,8,50.5,7.2,0,0
51916,14,50.4,3.9,0,0
52184,8,50.4,7.2,0,0
55143,8,50.4,7.2,0,0
52180,8,50.4,7.2,0,0
51430,8,50.1,7.2,0,0
55116,8,50.0,7.1,0,0
38821,19,50.0,2.8,0,0
54224,7,50.0,8.3,0,0
54222,7,50.0,8.3,0,0
56965,9,49.7,6.2,0,0
56963,9,49.7,6.2,0,0
56961,9,49.7,6.2,0,0
54023,8,49.7,7.1,0,0
52954,8,49.6,7.1,0,0
54531,7,49.4,8.2,0,0
59031,11,49.4,4.9,0,0
54467,7,49.3,8.2,0,0
54469,7,49.3,8.2,0,0
55144,8,49.3,7.0,0,0
54223,7,49.0,8.2,0,0
54221,7,49.0,8.2,0,0
70101,4,48.8,16.3,0,0
52181,7,48.8,8.1,0,0
52455,17,48.6,3.0,0,0
