station_a,name_a,state_a,station_b,name_b,state_b,num_trains,distance_km
TEA,Taregna,Bihar,TNRI,Teneri Halt,,1,4.7
NDU,Nadauj,Bihar,JHD,Jehanabad,Bihar,33,8.4
NDU,Nadauj,Bihar,TNRI,Teneri Halt,,3,2.2
NDU,Nadauj,Bihar,SONH,Seonan Halt,,2,1.3
NDU,Nadauj,Bihar,KRON,Karona Halt,,1,3.9
JHD,Jehanabad,Bihar,JHDC,Jehanabad Court,Bihar,36,2.7
JHD,Jehanabad,Bihar,KRON,Karona Halt,,3,4.6
JHDC,Jehanabad Court,Bihar,THA,Tehta,Bihar,33,9.8
JHDC,Jehanabad Court,Bihar,IAM,Mai Halt,,3,5.0
THA,Tehta,Bihar,MDE,Makhdumpur Gaya,Bihar,36,4.0
THA,Tehta,Bihar,NZP,Niyazipur Halt,,3,3.4
MDE,Makhdumpur Gaya,Bihar,BELA,Bela,Bihar,33,11.0
MDE,Makhdumpur Gaya,Bihar,BBHT,Barabar Halt,Bihar,3,2.4
BELA,Bela,Bihar,CKH,Chakand,Bihar,33,9.9
BELA,Bela,Bihar,NERH,Ner Halt,,1,4.4
BELA,Bela,Bihar,NYM,Neyamatpur,,3,4.6
BELA,Bela,Bihar,WW,Wanabar,,2,3.1
CKH,Chakand,Bihar,OREH,Ore Halt,,3,2.8
TELO,TELO,,CRP,CHANDRAPURA,,31,6.3
TELO,TELO,,RJB,RAJABERA,,1,8.6
CRP,CHANDRAPURA,,BHME,BHANDARIDAH,,12,6.6
CRP,CHANDRAPURA,,RJB,RAJABERA,,53,4.0
CRP,CHANDRAPURA,,DDGA,DUGDA,,31,4.3
CRP,CHANDRAPURA,,PLJE,PHULWARTANR,,4,11.1
CRP,CHANDRAPURA,,PURI,PURI,,1,439.5
BHME,BHANDARIDAH,,PUS,PHUSRO,,12,4.7
PUS,PHUSRO,,AMLO,AMLO,,12,3.1
AMLO,AMLO,,BRMO,BERMO,,12,2.5
BRMO,BERMO,,JAN,JARANGDIH,,12,2.8
